,Country,Continent,Population,Main Language Family,Official Languages,Semi-Official Languages,Main Languages,Indo-European Languages,Sino-Tibetan Languages,Niger-Congo Languages,Afro-Asiatic Languages,Austronesian Languages,Dravidian Languages,Turkic Languages,Japonic Languages,Austro-Asiatic Languages,Tai-Kadai Languages,Koreanic Languages,Nilo-Saharan Languages,Uralic Languages,Other Significant Languages,Percent Catholic,Percent Protestant,Percent Orthodox,Percent Muslim,Percent Hindu,Percent Buddhist,Percent Other Religions
125,Nigeria,Africa,190000000.0,Indo-European,English,,,English,,"Yoruba, Igbo, Fula",Hausa,,,,,,,,,,,0.19,0.21,,0.5,,,0.09999999999999998
126,Norway,Europe,5300000.0,Indo-European,Norwegian,Sami,Norwegian,Norwegian,,,,,,,,,,,,"Sami, Finnish",,0.02,0.82,,0.02,,,0.14
127,Oman,Asia,3400000.0,Afro-Asiatic,Arabic,,Arabic,"English, Baluchi, Urdu",,,Arabic,,,,,,,,,,,,,0.06,0.86,0.06,0.01,0.010000000000000009
128,Pakistan,Asia,200000000.0,Indo-European,"Urdu, English",,Punjabi,"Punjabi, Sindhi, Pashto, Urdu, Baluchi, Hindko, English",,,,,Brahui,,,,,,,,Burushaski,,,,0.96,,,0.040000000000000036
129,Palau,,21000.0,Austronesian,"Palauan, English","Sonsorolese, Tobian, Japanese",Palauan,English,Mandarin,,,"Palauan, Tagalog, Sonsorolese, Tobian",,,Japanese,,,,,,,0.45,0.35,,0.03,,,0.16999999999999993
130,Panama,North America,3800000.0,Indo-European,Spanish,,Spanish,"Spanish, English, French, Yiddish","Yue, Hakka",,"Arabic, Hebrew",,,,Japanese,,,Korean,,,"Guaymi, Buglere, Kuna, Embera, Wounaan, Teribe, Bribri",0.85,0.15,,,,,0.0
131,Papua New Guinea,,6900000.0,Indo-European,"English, English Creole, Motu",,English Creole,"English, English Creole",,,,Motu,,,,,,,,,,0.27,0.69,,,,,0.040000000000000036
132,Paraguay,South America,6900000.0,Indo-European,"Spanish, Guaraní",,"Spanish, Guaraní",Spanish,,,,,,,,,,,,,Guaraní,0.9,0.06,,,,,0.040000000000000036
133,Peru,South America,31000000.0,Indo-European,"Spanish, Quechua, Aymara",,Spanish,Spanish,,,,,,,,,,,,,"Quechua, Aymara, Ashaninka",0.81,0.13,,,,,0.05999999999999994
134,Philippines,,100000000.0,Austronesian,"Tagalog, English",,"Tagalog, English",English,,,,Tagalog,,,,,,,,,,0.83,0.03,,0.05,,,0.08999999999999997
